Test,Year,Month,Days,Closed Equity,Total Equity,Total Equity Gain,Gain%,C Risk%,T Risk%,CE DD%,TE DD%,Trades
1,2008,11,30,129536.8,135262.43,8759.14,6.92%,8.66%,12.52%,2.21%,0.00%,1
1,2008,12,31,132411.3,149855.33,14592.9,10.79%,0.00%,10.00%,0.04%,0.00%,1
1,2009,1,31,142505.17,142611.92,-7243.41,-4.83%,2.64%,2.71%,0.00%,4.83%,4
1,2009,2,28,142500.2,145776.85,3164.92,2.22%,4.91%,7.05%,0.00%,2.72%,0
1,2009,3,31,140137.73,142041.76,-3735.09,-2.56%,5.65%,6.91%,1.66%,5.21%,2
1,2009,4,30,140404.08,143188.76,1147,0.81%,3.62%,5.50%,1.47%,4.45%,2
1,2009,5,31,139472.96,146308.88,3120.12,2.18%,0.76%,5.40%,2.13%,2.37%,2
1,2009,6,30,145094.33,144207.41,-2101.47,-1.44%,6.04%,5.46%,0.00%,3.77%,1
1,2009,7,31,138954.7,144703.19,495.77,0.34%,7.66%,11.33%,4.23%,3.44%,4
1,2009,8,31,139083.77,150169.98,5466.79,3.78%,3.38%,10.51%,4.14%,0.00%,1
1,2009,9,30,139653.91,152661.34,2491.36,1.66%,6.14%,14.13%,3.75%,0.00%,1
1,2009,10,31,151078.51,153036.13,374.79,0.25%,0.28%,1.55%,0.00%,0.00%,6
1,2009,11,30,149514.88,152485.32,-550.81,-0.36%,5.40%,7.24%,1.03%,0.36%,1
1,2009,12,31,147785.26,153872.92,1387.59,0.91%,9.61%,13.18%,2.18%,0.00%,4
1,2010,1,31,147696.48,150966.23,-2906.68,-1.89%,5.28%,7.33%,2.24%,1.89%,4
1,2010,2,28,148382.02,147221.4,-3744.83,-2.48%,10.06%,9.35%,1.78%,4.32%,3
1,2010,3,31,146438.58,149987.4,2766,1.88%,4.32%,6.58%,3.07%,2.53%,5
1,2010,4,30,146271.14,157965.83,7978.43,5.32%,0.00%,6.57%,3.18%,0.00%,3
1,2010,5,31,155326.17,163238.25,5272.42,3.34%,5.14%,9.74%,0.00%,0.00%,1
1,2010,6,30,159341.65,155194.21,-8044.05,-4.93%,13.24%,10.92%,0.00%,4.93%,5
1,2010,7,31,159513.47,158653.23,3459.02,2.23%,20.38%,19.94%,0.00%,2.81%,2
1,2010,8,31,148930.02,148532.58,-10120.65,-6.38%,5.81%,5.56%,6.63%,9.01%,3
1,2010,9,30,148567.42,170239.97,21707.39,14.61%,8.20%,19.89%,6.86%,0.00%,1
1,2010,10,31,148567.42,188572.01,18332.04,10.77%,0.00%,17.01%,6.86%,0.00%,0
1,2010,11,30,190946.44,191583.8,3011.79,1.60%,7.46%,7.77%,0.00%,0.00%,4
1,2010,12,31,188073.19,203437.97,11854.17,6.19%,2.66%,10.01%,1.50%,0.00%,2
1,2011,1,31,201772.71,202763.16,-674.82,-0.33%,1.26%,1.74%,0.00%,0.33%,3
1,2011,2,28,199733.7,201648.65,-1114.51,-0.55%,11.24%,12.08%,1.01%,0.88%,2
1,2011,3,31,200059.78,202126.25,477.6,0.24%,10.95%,11.86%,0.85%,0.64%,1
1,2011,4,30,206222.27,223358.42,21232.17,10.50%,9.61%,16.54%,0.00%,0.00%,3
1,2011,5,31,211547.86,218629.63,-4728.8,-2.12%,9.16%,12.11%,0.00%,2.12%,1
1,2011,6,30,208199.21,208388.58,-10241.05,-4.68%,4.90%,4.99%,1.58%,6.70%,1
1,2011,7,31,208408.12,216506.79,8118.21,3.90%,4.25%,7.83%,1.48%,3.07%,0
1,2011,8,31,209629.62,230125.35,13618.56,6.29%,0.00%,8.81%,0.91%,0.00%,2
1,2011,9,30,213932.7,243317.84,13192.48,5.73%,0.00%,10.31%,0.00%,0.00%,2
1,2011,10,31,228727.46,234921.08,-8396.75,-3.45%,7.36%,9.81%,0.00%,3.45%,3
1,2011,11,30,227258.76,230965.53,-3955.55,-1.68%,2.52%,4.09%,0.64%,5.08%,1
1,2011,12,31,228603.8,233690.22,2724.69,1.18%,8.96%,10.95%,0.05%,3.96%,2
1,2012,1,31,228593.85,266488.99,32798.77,14.04%,1.83%,15.79%,0.06%,0.00%,0
1,2012,2,29,227403.92,278964.91,12475.91,4.68%,0.00%,13.52%,0.58%,0.00%,1
1,2012,3,31,241041.52,287256.42,8291.51,2.97%,0.00%,16.01%,0.00%,0.00%,3
1,2012,4,30,270432.39,288696.18,1439.76,0.50%,11.16%,16.78%,0.00%,0.00%,1
1,2012,5,31,275826.08,337282.44,48586.26,16.83%,0.12%,18.32%,0.00%,0.00%,2
1,2012,6,30,310659.36,336903.46,-378.98,-0.11%,17.59%,24.01%,0.00%,0.11%,3
1,2012,7,31,310659.36,358085.59,21182.13,6.29%,8.46%,20.59%,0.00%,0.00%,0
1,2012,8,31,316551.28,355010.08,-3075.51,-0.86%,0.32%,11.12%,0.00%,0.86%,1
1,2012,9,30,316504.04,383711.51,28701.42,8.08%,0.00%,11.14%,0.01%,0.00%,1
